image_id|source_file|source_number|type|format|contributor|buildings_current|buildings_former|date|photographer|width|height|resolution|physical_size|cd_location|tiff_location|notes|no_students|no_profs|related_image|display_dpi
102|class1958_sc|0|Student Council|tiff|Mike Meade, Alex Rogers|||1958-01-01||6151|5086|||||Summer School Student Council 1958|0|0|class1958_sc_back|72
104|class1961_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1961-01-01||11435|8704|||||UNB Contingent of Canadian Officers Training Corps 1961-1962|0|0||72
105|class1962_COTC_alt|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1962-01-01||11471|8870|||||UNB Contingent of Canadian Officers Training Corps 1962-1963|0|0||72
106|class1962_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1962-01-01||9238|8011|||||COTC|0|0||72
107|class1964_COTC|0|Canadian Officers Training Corps|tiff|Mike Meade, Alex Rogers|||1964-01-01||11431|8849|||||UNB Contingent COTC 1964|0|0||72
108|class1965_BA|0|Faculty|tiff|Mike Meade, Alex Rogers|||1965-01-01|The Harvey Studio|10107|8289|||||Business Administration|0|0||72
109|class1965_forestry|0|Faculty|tiff|Mike Meade, Alex Rogers|||1965-01-01|Stones Studio|8518|6911|||||Forestry|0|0||72
110|class1966_BA|0|Faculty|tiff|Mike Meade, Alex Rogers|||1966-01-01|The Harvey Studio|9251|7424|||||Business Administration|0|6||72
111|class1966_cv|0|Convocation|tiff|Mike Meade, Alex Rogers|||1966-01-01||10182|7696|||||UNB Convocation October 1966|0|0||72
112|class1966_sc|0|Student Council|tiff|Mike Meade, Alex Rogers|||1966-01-01|Harvey Studios|5001|6212|||||SRC Executive Officers for 1966-67|0|0|class1966_sc_back|72
114|class1967_BA|0|Faculty|tiff|Mike Meade, Alex Rogers|||1967-01-01|The Harvey Studio|8960|7199|||||Business Administration|0|0||72
115|class1967_ec|0|Encaenia|tiff|Mike Meade, Alex Rogers|||1967-01-01||10102|7616|||||138th UNB Encaenia |0|0||72
116|class1969_engineering|0|Faculty|tiff|Mike Meade, Alex Rogers|||1969-01-01||8502|6708|||||Civil Engineering|0|14||72
117|class1970_nursing|0|Faculty|tiff|Mike Meade, Alex Rogers|||1970-01-01|The Harvey Studio|8899|7200|||||Nursing|0|1||72
118|class1971_BA|0|Faculty|tiff|Mike Meade, Alex Rogers|||1971-01-01|Harvey Studios|11611|9536|||||Business Administration|0|9||72
119|class1971_nursing|0|Faculty|tiff|Mike Meade, Alex Rogers|||1971-01-01||8615|7147|||||Nursing|0|1||72
120|class1971_PE|0|Faculty|tiff|Mike Meade, Alex Rogers|||1971-01-01|Harvey Studios|8491|6719|||||Physical Education|0|11||72
121|class1971_sc|0|Student Council|tiff|Mike Meade, Alex Rogers|||1971-01-01||6211|4950|||||1971 Summer SRC|0|0|class1971_sc_back|72
